"Scope","Rule","Severity","Count","ExampleFile","ExampleLine","ExampleMessage"
"Vendor/generated/other","RedundantTernaryExpression","warning","1","Assets/FishNet/Runtime/Serializing/Reader.cs","389","Redundant conditional ternary expression usage"
"Vendor/generated/other","RedundantToStringCall","warning","22","Assets/FishNet/CodeGenerating/Processing/ReaderProcessor.cs","319","Redundant 'Object.ToString()' call"
"Vendor/generated/other","RedundantTypeArgumentsOfMethod","warning","12","Assets/FishNet/CodeGenerating/ILCore/FishNetILPP.cs","90","Type argument specification is redundant"
"First-party","RedundantTypeArgumentsOfMethod","warning","1","Assets/Game/Runtime/Projectiles/PebbleMessages.cs","50","Type argument specification is redundant"
"Vendor/generated/other","RedundantUsingDirective","warning","430","Assets/FishNet/CodeGenerating/Extension/ILProcessorExtensions.cs","1","Using directive is not required by the code and can be safely removed"
"First-party","RedundantUsingDirective","warning","6","Assets/Game/Editor/AvatarProcessor.cs","4","Using directive is not required by the code and can be safely removed"
"Vendor/generated/other","RedundantVerbatimStringPrefix","note","6","Assets/FishNet/Runtime/Editor/Configuring/DelayedEditorTasks.cs","55","Redundant verbatim string prefix"
"Vendor/generated/other","ReturnValueOfPureMethodIsNotUsed","warning","1","Assets/_3rdParty/LeanTween/Framework/LeanTween.cs","3612","Return value of pure method is not used"
"Vendor/generated/other","SealedMemberInSealedClass","warning","4","Assets/FishNet/CodeGenerating/cecil-0.11.4/Mono.Cecil/MemberDefinitionCollection.cs","35","'sealed' modifier is redundant because class 'MonoFN.Cecil.MemberDefinitionCollection<T>' is sealed"
"Vendor/generated/other","ShiftExpressionZeroLeftOperand","warning","73","Assets/FishNet/CodeGenerating/cecil-0.11.4/Mono.Cecil.Cil/OpCodes.cs","17","Shift expression with zero left operand equals zero"
